asset_path,asset_type,referenced_by_count,referenced_pages,production_request_status,required_for_rendering,candidate_source,source_hash,restored,verified,classification
a,page,13,about/index.html;air-quality-testing/index.html;index.html;mold-inspection-and-testing/index.html;mold-inspection-yachts/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-and-remediation/index.html;mold-removal-in-fort-pierce/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html;our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-includes/js/comment-reply.min.js,js,6,faqs-about-mold-and-mildews/index.html;humidity-and-mold-growth/index.html;is-mold-aspergillus-dangerous/index.html;mold-grow-under-vinyl-plank-flooring/index.html;mold-removal-vs-remediation/index.html;types-of-mold/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
whatsapp://send,page,6,faqs-about-mold-and-mildews/index.html;humidity-and-mold-growth/index.html;is-mold-aspergillus-dangerous/index.html;mold-grow-under-vinyl-plank-flooring/index.html;mold-removal-vs-remediation/index.html;types-of-mold/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IN-BOCA-RATON-150x150.jpg,image,5,about/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IN-BOCA-RATON-300x300.jpg,image,5,about/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image1-150x150.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image1-300x300.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image2-150x150.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image2-300x300.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/Conditions-ideal-for-mold-growth-300x225.jpg,image,2,mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/Conditions-ideal-for-mold-growth-768x576.jpg,image,2,mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/10/BENEFITS-OF-HIRING-PROFESSIONALS-FOR-AIR-QUALITY-INSPECTION-150x150.jpg,image,1,indoor-air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/10/BENEFITS-OF-HIRING-PROFESSIONALS-FOR-AIR-QUALITY-INSPECTION-300x300.jpg,image,1,indoor-air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/10/COMMON-INDOOR-AIR-POLLUTANTS-IN-SOUTH-FLORIDA-150x150.jpg,image,1,indoor-air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/10/COMMON-INDOOR-AIR-POLLUTANTS-IN-SOUTH-FLORIDA-300x300.jpg,image,1,indoor-air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/BENEFITS-OF-HIRING-PROFESSIONALS-FOR-AIR-QUALITY-INSPECTION-1-150x150.jpg,image,1,air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/BENEFITS-OF-HIRING-PROFESSIONALS-FOR-AIR-QUALITY-INSPECTION-1-300x300.jpg,image,1,air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/DSC_0640-300x201.jpg,image,1,mold-inspection-yachts/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-INSPECTION-AND-TESTING-square-image1-150x150.jpg,image,1,mold-inspection-and-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-INSPECTION-AND-TESTING-square-image1-300x300.jpg,image,1,mold-inspection-and-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-INSPECTION-AND-TESTING-square-image2-150x150.jpg,image,1,mold-inspection-and-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-INSPECTION-AND-TESTING-square-image2-300x300.jpg,image,1,mold-inspection-and-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IMAGES-150x150.jpg,image,1,mold-removal-port-saint-lucie/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IMAGES-300x300.jpg,image,1,mold-removal-port-saint-lucie/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/Namri-Proffessionalism-150x150.png,image,1,our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/Screenshot-2025-09-18-231530-300x230.png,image,1,our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/Screenshot-2025-09-18-231530-768x589.png,image,1,our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/energyassess-300x186.png,image,1,air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/energyassess-768x477.png,image,1,air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/energyassess.png,image,1,air-quality-testing/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one-1-300x200.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one-1-768x512.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one-1.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one-300x200.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one-768x512.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/first-blog-one.jpg,image,1,mold-removal-and-remediation/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/k2_items_src_f8091000de3f026d209837e21bc2e700-1280x1920-1-1024x1536.webp,image,1,mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/k2_items_src_f8091000de3f026d209837e21bc2e700-1280x1920-1-200x300.webp,image,1,mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/k2_items_src_f8091000de3f026d209837e21bc2e700-1280x1920-1-768x1152.webp,image,1,mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/k2_items_src_f8091000de3f026d209837e21bc2e700-1280x1920-1.webp,image,1,mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/license7856199-1-pdf-1024x791-1-300x232.jpg,image,1,about/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/license7856199-1-pdf-1024x791-1-768x593.jpg,image,1,about/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/logo_IICRC-300x200.webp,image,1,our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/logo_IICRC-768x512.webp,image,1,our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/mold-removal-fort-pierce-300x257.jpg,image,1,mold-removal-in-fort-pierce/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/mold-testing-fort-pierce-300x263.jpg,image,1,mold-removal-in-fort-pierce/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-includes/css/dist/block-library/style.min.css,css,1,newsletter/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/dist/vendor/regenerator-runtime.min.js,js,1,newsletter/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/wp-embed.min.js,js,1,newsletter/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/wlwmanifest.xml,xml,1,newsletter/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
moldandenvironmental@gmail.com,com,1,contact-us-today/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
