URL,TYPE,TEMPLATE,INDEXABLE,TITLE,META,CANONICAL,H1,SCHEMA,TRUST_CLAIMS,ASSETS,LAYOUT_MOBILE,LAYOUT_DESKTOP,FORM_STATE,FINAL_STATUS
/,HOME,COMPONENT,YES,PASS,PASS,/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/about/,PAGE,COMPONENT,YES,PASS,PASS,/about/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/air-quality-testing/,PAGE,COMPONENT,YES,PASS,PASS,/air-quality-testing/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/blog/,PAGE,COMPONENT,YES,PASS,PASS,/blog/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/category/mold/,PAGE,COMPONENT,YES,PASS,PASS,/blog/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/category/uncategorized/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/blog/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/cleaning-sanitation-of-structure/,PAGE,COMPONENT,YES,PASS,PASS,/cleaning-sanitation-of-structure/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/contact-us-today/,PAGE,COMPONENT,YES,PASS,PASS,/contact-us-today/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/contact/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/contact-us-today/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/containment-in-affected-areas/,PAGE,COMPONENT,YES,PASS,PASS,/containment-in-affected-areas/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/credentials/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/our-credentials/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/deodorization/,PAGE,COMPONENT,YES,PASS,PASS,/deodorization/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/do-i-have-toxic-mold-in-my-home/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/mold-inspection-and-testing/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/do-you-know-the-effects-mold-can-have-on-your-family-health/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/mold-removal-and-remediation/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/faqs-about-mold-and-mildews/,PAGE,COMPONENT,YES,PASS,PASS,/faqs-about-mold-and-mildews/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/faqs/,PAGE,COMPONENT,YES,PASS,PASS,/faqs/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/get-an-quote/,PAGE,COMPONENT,YES,PASS,PASS,/get-an-quote/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/humidity-and-mold-growth/,PAGE,COMPONENT,YES,PASS,PASS,/humidity-and-mold-growth/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/indoor-air-quality-testing/,STUB,RETIREMENT_STUB,NO,PASS,N/A,/air-quality-testing/,0,N/A,PASS,PASS,N/A,N/A,CONTAINMENT,COMPLETE
/is-mold-aspergillus-dangerous/,PAGE,COMPONENT,YES,PASS,PASS,/is-mold-aspergillus-dangerous/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-grow-under-vinyl-plank-flooring/,PAGE,COMPONENT,YES,PASS,PASS,/mold-grow-under-vinyl-plank-flooring/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-inspection-and-testing/,PAGE,COMPONENT,YES,PASS,PASS,/mold-inspection-and-testing/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-inspection-yachts/,PAGE,COMPONENT,YES,PASS,PASS,/mold-inspection-yachts/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-remediation-in-fort-lauderdale/,PAGE,COMPONENT,YES,PASS,PASS,/mold-remediation-in-fort-lauderdale/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-remediation-vero-beach-fl/,PAGE,COMPONENT,YES,PASS,PASS,/mold-remediation-vero-beach-fl/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-removal-and-remediation/,PAGE,COMPONENT,YES,PASS,PASS,/mold-removal-and-remediation/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-removal-in-fort-pierce/,PAGE,COMPONENT,YES,PASS,PASS,/mold-removal-in-fort-pierce/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-removal-port-saint-lucie/,PAGE,COMPONENT,YES,PASS,PASS,/mold-removal-port-saint-lucie/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-removal-vs-remediation/,PAGE,COMPONENT,YES,PASS,PASS,/mold-removal-vs-remediation/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/mold-removal-west-palm-beach/,PAGE,COMPONENT,YES,PASS,PASS,/mold-removal-west-palm-beach/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/newsletter/,PAGE,COMPONENT,YES,PASS,PASS,/newsletter/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/our-credentials/,PAGE,COMPONENT,YES,PASS,PASS,/our-credentials/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/our-reviews/,PAGE,COMPONENT,YES,PASS,PASS,/our-reviews/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/privacy-policy/,PAGE,COMPONENT,YES,PASS,PASS,/privacy-policy/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/request-received/,RESPONSE,COMPONENT,NO,PASS,PASS,/request-received/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/request-received/error/,RESPONSE,COMPONENT,NO,PASS,PASS,/request-received/error/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/terms-of-services/,PAGE,COMPONENT,YES,PASS,PASS,/terms-of-services/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
/types-of-mold/,PAGE,COMPONENT,YES,PASS,PASS,/types-of-mold/,1,PASS,PASS,PASS,PASS,PASS,CONTAINMENT,COMPLETE
